subj,dataset,analysis,split_num,splitA,splitB,condition,pearsonr
humanvshuman,cue-conflict,humanvshuman_splithalves,46,['subject-01' 'subject-02' 'subject-06' 'subject-07' 'subject-08'],['subject-03' 'subject-04' 'subject-05' 'subject-09' 'subject-10'],0,0.7021049027505752
humanvshuman,cue-conflict,humanvshuman_splithalves,47,['subject-01' 'subject-02' 'subject-06' 'subject-07' 'subject-09'],['subject-03' 'subject-04' 'subject-05' 'subject-08' 'subject-10'],0,0.7043155230219018
humanvshuman,cue-conflict,humanvshuman_splithalves,48,['subject-01' 'subject-02' 'subject-06' 'subject-07' 'subject-10'],['subject-03' 'subject-04' 'subject-05' 'subject-08' 'subject-09'],0,0.6914277916453271
humanvshuman,cue-conflict,humanvshuman_splithalves,49,['subject-01' 'subject-02' 'subject-06' 'subject-08' 'subject-09'],['subject-03' 'subject-04' 'subject-05' 'subject-07' 'subject-10'],0,0.7218353897133358
humanvshuman,cue-conflict,humanvshuman_splithalves,50,['subject-01' 'subject-02' 'subject-06' 'subject-08' 'subject-10'],['subject-03' 'subject-04' 'subject-05' 'subject-07' 'subject-09'],0,0.7238901457611504
humanvshuman,cue-conflict,humanvshuman_splithalves,51,['subject-01' 'subject-02' 'subject-06' 'subject-09' 'subject-10'],['subject-03' 'subject-04' 'subject-05' 'subject-07' 'subject-08'],0,0.7212278234684046
humanvshuman,cue-conflict,humanvshuman_splithalves,52,['subject-01' 'subject-02' 'subject-07' 'subject-08' 'subject-09'],['subject-03' 'subject-04' 'subject-05' 'subject-06' 'subject-10'],0,0.7187579910435723
humanvshuman,cue-conflict,humanvshuman_splithalves,53,['subject-01' 'subject-02' 'subject-07' 'subject-08' 'subject-10'],['subject-03' 'subject-04' 'subject-05' 'subject-06' 'subject-09'],0,0.7076768375274699
humanvshuman,cue-conflict,humanvshuman_splithalves,54,['subject-01' 'subject-02' 'subject-07' 'subject-09' 'subject-10'],['subject-03' 'subject-04' 'subject-05' 'subject-06' 'subject-08'],0,0.7124676579395943
humanvshuman,cue-conflict,humanvshuman_splithalves,55,['subject-01' 'subject-02' 'subject-08' 'subject-09' 'subject-10'],['subject-03' 'subject-04' 'subject-05' 'subject-06' 'subject-07'],0,0.7357112577450838
humanvshuman,cue-conflict,humanvshuman_splithalves,56,['subject-01' 'subject-03' 'subject-04' 'subject-05' 'subject-06'],['subject-02' 'subject-07' 'subject-08' 'subject-09' 'subject-10'],0,0.7171497148230911
humanvshuman,cue-conflict,humanvshuman_splithalves,57,['subject-01' 'subject-03' 'subject-04' 'subject-05' 'subject-07'],['subject-02' 'subject-06' 'subject-08' 'subject-09' 'subject-10'],0,0.7197789657703966
humanvshuman,cue-conflict,humanvshuman_splithalves,58,['subject-01' 'subject-03' 'subject-04' 'subject-05' 'subject-08'],['subject-02' 'subject-06' 'subject-07' 'subject-09' 'subject-10'],0,0.7064081152288588
humanvshuman,cue-conflict,humanvshuman_splithalves,59,['subject-01' 'subject-03' 'subject-04' 'subject-05' 'subject-09'],['subject-02' 'subject-06' 'subject-07' 'subject-08' 'subject-10'],0,0.7138825916999856
humanvshuman,cue-conflict,humanvshuman_splithalves,60,['subject-01' 'subject-03' 'subject-04' 'subject-05' 'subject-10'],['subject-02' 'subject-06' 'subject-07' 'subject-08' 'subject-09'],0,0.7210606510788955
humanvshuman,cue-conflict,humanvshuman_splithalves,61,['subject-01' 'subject-03' 'subject-04' 'subject-06' 'subject-07'],['subject-02' 'subject-05' 'subject-08' 'subject-09' 'subject-10'],0,0.7208208421039732
humanvshuman,cue-conflict,humanvshuman_splithalves,62,['subject-01' 'subject-03' 'subject-04' 'subject-06' 'subject-08'],['subject-02' 'subject-05' 'subject-07' 'subject-09' 'subject-10'],0,0.718389504818143
