subj,dataset,analysis,split_num,splitA,splitB,condition,pearsonr
humanvshuman,silhouette,humanvshuman_splithalves,52,['subject-01' 'subject-02' 'subject-07' 'subject-08' 'subject-09'],['subject-03' 'subject-04' 'subject-05' 'subject-06' 'subject-10'],0,0.7916844998198823
humanvshuman,silhouette,humanvshuman_splithalves,53,['subject-01' 'subject-02' 'subject-07' 'subject-08' 'subject-10'],['subject-03' 'subject-04' 'subject-05' 'subject-06' 'subject-09'],0,0.8191170073310263
humanvshuman,silhouette,humanvshuman_splithalves,54,['subject-01' 'subject-02' 'subject-07' 'subject-09' 'subject-10'],['subject-03' 'subject-04' 'subject-05' 'subject-06' 'subject-08'],0,0.8047799038972232
humanvshuman,silhouette,humanvshuman_splithalves,55,['subject-01' 'subject-02' 'subject-08' 'subject-09' 'subject-10'],['subject-03' 'subject-04' 'subject-05' 'subject-06' 'subject-07'],0,0.8044548992423111
humanvshuman,silhouette,humanvshuman_splithalves,56,['subject-01' 'subject-03' 'subject-04' 'subject-05' 'subject-06'],['subject-02' 'subject-07' 'subject-08' 'subject-09' 'subject-10'],0,0.7970267558155353
humanvshuman,silhouette,humanvshuman_splithalves,57,['subject-01' 'subject-03' 'subject-04' 'subject-05' 'subject-07'],['subject-02' 'subject-06' 'subject-08' 'subject-09' 'subject-10'],0,0.8081427861786582
humanvshuman,silhouette,humanvshuman_splithalves,58,['subject-01' 'subject-03' 'subject-04' 'subject-05' 'subject-08'],['subject-02' 'subject-06' 'subject-07' 'subject-09' 'subject-10'],0,0.8420331538183301
humanvshuman,silhouette,humanvshuman_splithalves,59,['subject-01' 'subject-03' 'subject-04' 'subject-05' 'subject-09'],['subject-02' 'subject-06' 'subject-07' 'subject-08' 'subject-10'],0,0.7979488818403544
humanvshuman,silhouette,humanvshuman_splithalves,60,['subject-01' 'subject-03' 'subject-04' 'subject-05' 'subject-10'],['subject-02' 'subject-06' 'subject-07' 'subject-08' 'subject-09'],0,0.8275593917159605
humanvshuman,silhouette,humanvshuman_splithalves,61,['subject-01' 'subject-03' 'subject-04' 'subject-06' 'subject-07'],['subject-02' 'subject-05' 'subject-08' 'subject-09' 'subject-10'],0,0.8101323779675251
humanvshuman,silhouette,humanvshuman_splithalves,62,['subject-01' 'subject-03' 'subject-04' 'subject-06' 'subject-08'],['subject-02' 'subject-05' 'subject-07' 'subject-09' 'subject-10'],0,0.8332252766788478
